# Candidate,HAT-P-37b
# Period,2.797436
# All data spans days,4979.446820721962
# All data spans years,13.6
Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Source
-995,2455616.96715,0.00087,0.00087,75.17,75.17,2022ApJS..259...62I; 2016AcA....66...55M; 2012AJ....144...19B
-985,2455644.94118,0.00038,0.00038,32.83,32.83,2022ApJS..259...62I; 2016AcA....66...55M; 2012AJ....144...19B
-980,2455658.92864,0.00054,0.00054,46.66,46.66,2022ApJS..259...62I; 2016AcA....66...55M; 2012AJ....144...19B
-815,2456120.5099075907,0.00065,0.00065,56.16,56.16,Ramon_Naves_TRESCA
-810,2456134.49387,0.0008,0.0008,69.12,69.12,2022ApJS..259...62I; 2016AcA....66...55M
-785,2456204.43087,0.00078,0.00078,67.39,67.39,2022ApJS..259...62I; 2016AcA....66...55M
-698,2456447.8069876023,0.00066,0.00066,57.02,57.02,Petri_Kehusmaa_/_Caisey_Harlingten_TRESCA
-656,2456565.30156,0.00075,0.00075,64.8,64.8,2022ApJS..259...62I; 2016AcA....66...55M
-563,2456825.4641375984,0.00073,0.00073,63.07,63.07,Faustino_Garcia_TRESCA
-455,2457127.586807611,0.00049,0.00049,42.34,42.34,Marc_Bretton_TRESCA
-427,2457205.91325,0.00056,0.00056,48.38,48.38,2022ApJS..259...62I; 2017MNRAS.472.3871T
-427,2457205.91376,0.00054,0.00054,46.66,46.66,2022ApJS..259...62I; 2017MNRAS.472.3871T
-415,2457239.4833191573,0.00042,0.00042,36.29,36.29,Marc_Bretton_TRESCA
-415,2457239.484529157,0.00135,0.00135,116.64,116.64,F._Martinelli_M._Monaci_TRESCA
-395,2457295.4317,0.0012,0.0012,103.68,103.68,2022ApJS..259...62I; 2016AcA....66...55M
-311,2457530.4170891796,0.00038,0.00038,32.83,32.83,Marc_Bretton_TRESCA
-306,2457544.4052491756,0.00071,0.00071,61.34,61.34,Yenal_Ogmen_TRESCA
-287,2457597.551849159,0.00085,0.00085,73.44,73.44,Dalouzy_Jean-Christophe_Dherbecourt_Marwane_TRESCA
-277,2457625.531239152,0.00034,0.00034,29.38,29.38,Marc_Bretton_TRESCA
-276,2457628.3267091513,0.00046,0.00046,39.74,39.74,Yenal_Ogmen_TRESCA
-178,2457902.4753607516,0.00076,0.00076,65.66,65.66,Alessandro_Marchini_TRESCA
-178,2457902.4757907516,0.00056,0.00056,48.38,48.38,Jean-Luc_MARTIN_TRESCA
-178,2457902.478500752,0.0007,0.0007,60.48,60.48,Marc_Bretton_TRESCA
-173,2457916.4646907477,0.00035,0.00035,30.24,30.24,Š._Gajdoš_J._Šubjak_TRESCA
-173,2457916.466210748,0.00076,0.00076,65.66,65.66,Marc_DELDEM_TRESCA
-160,2457952.831090736,0.00053,0.00053,45.79,45.79,Michael_Fleenor_TRESCA
-133,2458028.3624907215,0.00042,0.00042,36.29,36.29,Š._Gajdoš_J._Šubjak_TRESCA
-128,2458042.3491307218,0.00028,0.00028,24.19,24.19,Marc_Bretton_TRESCA
-66,2458215.78861076,0.00075,0.00075,64.8,64.8,Daryl_Janzen_and_Stan_Shadick_and_Brennan_Rodgers_TRESCA
-44,2458277.334010749,0.0007,0.0007,60.48,60.48,Yenal_Ogmen_TRESCA
-40,2458288.5231807455,0.00072,0.00072,62.21,62.21,David_Molina_TRESCA
-40,2458288.5252807457,0.00042,0.00042,36.29,36.29,Marc_Bretton_TRESCA
-39,2458291.3220107453,0.00058,0.00058,50.11,50.11,Yenal_Ogmen_TRESCA
-35,2458302.5095707416,0.00042,0.00042,36.29,36.29,Marc_Bretton_TRESCA
-25,2458330.4845107323,0.00089,0.00089,76.9,76.9,David_Molina_TRESCA
-25,2458330.4867307325,0.00059,0.00059,50.98,50.98,ESSEIVA_Nicolas_TRESCA
-23,2458336.0793607305,0.00217,0.00217,187.49,187.49,Wonseok_Kang_TRESCA
-20,2458344.4744607285,0.00065,0.00065,56.16,56.16,Yves_Jongen_TRESCA
-15,2458358.460540725,0.0004,0.0004,34.56,34.56,Anael_Wunsche_TRESCA
-12,2458366.8503607237,0.00032,0.00032,27.65,27.65,Brennan_Rodgers_and_Rina_Rast_and_Riley_Larochelle_TRESCA
-10,2458372.4478407227,0.00053,0.00053,45.79,45.79,Marc_Bretton_TRESCA
0,2458400.4216207215,0.00063,0.00063,54.43,54.43,Mark_Salisbury_TRESCA
0,2458400.4217307214,0.00057,0.00057,49.25,49.25,S_FERRATFIAT._E_CONSEIL.G_SAUTOT.__S_VASSEUR._A_BARBARIN._TRESCA
114,2458719.3297207262,0.00042,0.00042,36.29,36.29,Yenal_Ogmen_TRESCA
192,2458937.53017076,0.00057,0.00057,49.25,49.25,Veli-Pekka_Hentunen_TRESCA
197,2458951.51654076,0.00063,0.00063,54.43,54.43,Yves_Jongen_TRESCA
227,2459035.440270741,0.00068,0.00068,58.75,58.75,Nico_Montigiani_Massimiliano_Mannucci_TRESCA
242,2459077.4023207277,0.00061,0.00061,52.7,52.7,Yves_Jongen_TRESCA
252,2459105.377090723,0.00028,0.00028,24.19,24.19,Marc_Bretton_TRESCA
272,2459161.325630724,0.00059,0.00059,50.98,50.98,Manfred_Raetz_TRESCA
325,2459309.58954076,0.00067,0.00067,57.89,57.89,etienne_bertrand_TRESCA
325,2459309.59110076,0.00067,0.00067,57.89,57.89,Ferran_Grau_Horta_TRESCA
330,2459323.5757807596,0.00084,0.00084,72.58,72.58,Luis_Tremosa_Espasa_TRESCA
340,2459351.5536607555,0.00078,0.00078,67.39,67.39,Yves_Jongen_TRESCA
346,2459368.3343907506,0.00061,0.00061,52.7,52.7,Yenal_Öğmen_TRESCA
350,2459379.5291407476,0.00057,0.00057,49.25,49.25,Yves_Jongen_TRESCA
360,2459407.4999607387,0.00142,0.00142,122.69,122.69,Giorgio_Baj_TRESCA
368,2459429.8780707316,0.00062,0.00062,53.57,53.57,Paul_Joseph_und_Jonas_Früh_TRESCA
370,2459435.4772807304,0.00054,0.00054,46.66,46.66,Yves_Jongen_TRESCA
375,2459449.4616607265,0.00068,0.00068,58.75,58.75,Yves_Jongen_TRESCA
498,2459793.5461207326,0.00064,0.00064,55.3,55.3,Yves_Jongen_TRESCA
622,2460140.430160738,0.0006,0.0006,51.84,51.84,Mario_Morales_TRESCA
652,2460224.355380722,0.00046,0.00046,39.74,39.74,Yves_Jongen_TRESCA
760,2460526.4765107315,0.0006,0.0006,51.84,51.84,Jordi_Lopesino_TRESCA
780,2460582.427250722,0.00065,0.00065,56.16,56.16,Alberto_García_Sánchez_TRESCA
785,2460596.413970722,0.00047,0.00047,40.61,40.61,Mark_Salisbury_TRESCA
