Epoch,Tm,sigma_Tm,src_flg
1205,2459013.062089796,0.0016799351200396362,TESS Sector 26
1206,2459015.8598737153,0.0015439429378675848,TESS Sector 26
1207,2459018.654497568,0.001256836868362631,TESS Sector 26
1210,2459027.0484259957,0.0017059789688662272,TESS Sector 26
#  1211,2459030.3644004352,0.0017383378367644138,TESS Sector 26
1212,2459032.6449199603,0.0014325233766482382,TESS Sector 26
1341,2459393.512308337,0.001073863647757685,TESS Sector 40
1342,2459396.313459726,0.0010390775924171325,TESS Sector 40
1343,2459399.1090389634,0.0009975316156202992,TESS Sector 40
1344,2459401.9047609908,0.0008461705626117414,TESS Sector 40
1346,2459407.4995992794,0.0009314380617051845,TESS Sector 40
1347,2459410.297300917,0.0010557785100557338,TESS Sector 40
1348,2459413.0941457613,0.0008422985803765298,TESS Sector 40
1349,2459415.890956886,0.0009757801536775831,TESS Sector 40
1351,2459421.4861076437,0.0010401927761769622,TESS Sector 41
1352,2459424.2857847405,0.0010033145329020813,TESS Sector 41
1353,2459427.081680292,0.0009159254417476838,TESS Sector 41
1354,2459429.8813627963,0.001002074713044848,TESS Sector 41
1356,2459435.4759074105,0.000933105274964789,TESS Sector 41
1357,2459438.271424761,0.0009624314287273274,TESS Sector 41
1358,2459441.0701411464,0.0009978994858355775,TESS Sector 41
1359,2459443.86681567,0.0009845169308935063,TESS Sector 41
1469,2459751.5860406957,0.0013395874313318437,TESS Sector 53
1470,2459754.3850820707,0.0010757277014475132,TESS Sector 53
1473,2459762.7772239945,0.0018600015851519085,TESS Sector 53
1474,2459765.5724323336,0.0010803149078862937,TESS Sector 53
1476,2459771.1674439036,0.0008779369754072368,TESS Sector 54
1477,2459773.9631455173,0.00114602641493663,TESS Sector 54
1478,2459776.760504433,0.0018491008010699732,TESS Sector 54
1481,2459785.1526633673,0.0008804937300220964,TESS Sector 54
1482,2459787.9504299313,0.0010981767293312015,TESS Sector 54
1483,2459790.7533099935,0.0019227178544048923,TESS Sector 54
1486,2459799.1418500175,0.0008098995677358016,TESS Sector 55
1487,2459801.937490136,0.0008967842731363731,TESS Sector 55
1488,2459804.7377463565,0.0009251602353556934,TESS Sector 55
1491,2459813.1290017534,0.000800305283485095,TESS Sector 55
1492,2459815.9271785654,0.0008859703658856738,TESS Sector 55
1493,2459818.7269529193,0.0009869018823481413,TESS Sector 55
1527,2459913.836795159,0.0010054895176209483,TESS Sector 59
1528,2459916.632431409,0.0009013752461403078,TESS Sector 59
1529,2459919.431464301,0.0009679589223894557,TESS Sector 59
1530,2459922.2298541637,0.0009094761106469071,TESS Sector 59
1532,2459927.823611213,0.0009504030869514749,TESS Sector 59
1533,2459930.622940862,0.0009871678208138973,TESS Sector 59
1534,2459933.418796414,0.000968336318049361,TESS Sector 59
1730,2460481.719536927,0.0010974894260995253,TESS Sector 80
1731,2460484.515586213,0.0010134833615127957,TESS Sector 80
1735,2460495.704220759,0.0009395787023690739,TESS Sector 80
1736,2460498.4995129574,0.0010515603637816383,TESS Sector 80
1749,2460534.8681365238,0.0006788423667533374,TESS Sector 82
1750,2460537.663681978,0.0006372677449027383,TESS Sector 82
1751,2460540.4648123174,0.0006477233907382247,TESS Sector 82
1752,2460543.2609401676,0.0006701387760690126,TESS Sector 82
1753,2460546.0588610764,0.0006788333750423166,TESS Sector 82
1754,2460548.8560613473,0.0006300723575659439,TESS Sector 82
1755,2460551.6533665266,0.0006344750632885713,TESS Sector 82
1756,2460554.4514154424,0.0006558078624334456,TESS Sector 82
1757,2460557.2467643344,0.0007221134972578571,TESS Sector 82
