Planet	Sector_ids
CoRoT-1b	[0, 3]
CoRoT-2b	[0]
CoRoT-14b	[0, 3]
CoRoT-21b	[0, 3]
GPX-1b	[0]
HAT-P-23b	[0, 2]
HAT-P-37b	[21]
HAT-P-53b	[0]
HATS-18b	[5]
HATS-24b	[5]
HATS-35b	[1]
HATS-42b	[0, 1, 6]
HATS-52b	[3]
HATS-57b	[3]
HATS-67b	[3]
HATS-70b	[6]
HIP-65Ab	[0, 2, 5, 8]
KELT-1b	[0, 3]
KELT-23Ab	[14, 16, 20, 25, 34, 38]
MASCARA-4b	[0, 1, 2, 4, 7]
NGTS-1b	[2, 5, 8]
NGTS-6b	[0, 3]
TOI-564b	[0, 2, 5]
TOI-674b	[0, 2, 4, 6]
TOI-1518b	[0, 1, 3, 6, 9]
TOI-1937Ab	[0, 2, 4, 7, 10]
TOI-2109b	[0, 1, 3]
TOI-2046b	[0, 1, 2, 3, 5]
TrES-1b	[0, 2, 4, 6, 8]
TrES-3b	[6, 8, 11, 13]
TrES-5b	[0, 2, 4, 6, 9, 11, 13, 15]
WASP-4b	[0, 3, 6, 8]
WASP-5b	[5]
WASP-12b	[0, 2, 4, 6, 9, 12]
WASP-18b	[11]
WASP-19b	[0, 3, 5, 7]
WASP-33b	[0, 3]
WASP-36b	[5]
WASP-43b	[6]
WASP-45b	[0, 3, 6]
WASP-46b	[0, 3, 5]
WASP-87b	[2, 5]
WASP-92b	[0, 2, 4, 6, 8, 10, 11, 12]
WASP-97b	[6]
WASP-104b	[0, 2]
WASP-114b	[0, 3]
WASP-121b	[0, 3, 6, 9]
WASP-135b	[2, 4]
WASP-164b	[3]
WASP-167b	[0, 3, 6]
WASP-189b	[0]
XO-3b	[0, 3, 6, 8]
